,borough,school_dist,Age04_10,Age11_13,Age14_17,ppsrdate,version,monthyear
0,Bronx,12,0.27,0.12,0.13,2024-01-12,5,2024-01
1,Bronx,11,0.24,0.11,0.13,2024-01-12,5,2024-01
2,Bronx,10,0.21,0.08,0.13,2024-01-12,5,2024-01
3,Bronx,9,0.22,0.09,0.13,2024-01-12,5,2024-01
4,Bronx,8,0.2,0.09,0.13,2024-01-12,5,2024-01
5,Bronx,7,0.23,0.08,0.13,2024-01-12,5,2024-01
6,Manhattan,6,0.07,0.02,0.02,2024-01-12,5,2024-01
7,Manhattan,5,0.09,0.03,0.02,2024-01-12,5,2024-01
8,Manhattan,4,0.07,0.03,0.02,2024-01-12,5,2024-01
9,Manhattan,3,0.04,0.01,0.02,2024-01-12,5,2024-01
10,Manhattan,2,0.04,0.01,0.02,2024-01-12,5,2024-01
11,Manhattan,1,0.04,0.01,0.02,2024-01-12,5,2024-01
12,Staten Island,31,0.25,0.08,0.09,2024-01-12,5,2024-01
13,Queens,30,0.11,0.04,0.1,2024-01-12,5,2024-01
14,Queens,29,0.33,0.14,0.1,2024-01-12,5,2024-01
15,Queens,28,0.22,0.08,0.1,2024-01-12,5,2024-01
16,Queens,27,0.17,0.07,0.1,2024-01-12,5,2024-01
17,Queens,26,0.29,0.13,0.1,2024-01-12,5,2024-01
18,Queens,25,0.22,0.07,0.1,2024-01-12,5,2024-01
19,Queens,24,0.38,0.13,0.1,2024-01-12,5,2024-01
20,Brooklyn,32,0.09,0.04,0.05,2024-01-12,5,2024-01
21,Brooklyn,23,0.14,0.06,0.05,2024-01-12,5,2024-01
22,Brooklyn,22,0.15,0.05,0.05,2024-01-12,5,2024-01
23,Brooklyn,21,0.14,0.05,0.05,2024-01-12,5,2024-01
24,Brooklyn,20,0.19,0.07,0.05,2024-01-12,5,2024-01
25,Brooklyn,19,0.18,0.08,0.05,2024-01-12,5,2024-01
26,Brooklyn,18,0.13,0.08,0.05,2024-01-12,5,2024-01
27,Brooklyn,17,0.08,0.02,0.05,2024-01-12,5,2024-01
28,Brooklyn,16,0.09,0.04,0.05,2024-01-12,5,2024-01
29,Brooklyn,15,0.17,0.04,0.05,2024-01-12,5,2024-01
30,Brooklyn,14,0.04,0.01,0.05,2024-01-12,5,2024-01
31,Brooklyn,13,0.05,0.01,0.05,2024-01-12,5,2024-01
32,Brooklyn,22,0.15,0.05,0.05,2023-01-05,4,2023-01
33,Staten Island,31,0.25,0.08,0.09,2023-01-05,4,2023-01
34,Queens,30,0.11,0.04,0.1,2023-01-05,4,2023-01
35,Queens,29,0.33,0.14,0.1,2023-01-05,4,2023-01
36,Queens,28,0.22,0.08,0.1,2023-01-05,4,2023-01
37,Queens,27,0.17,0.07,0.1,2023-01-05,4,2023-01
38,Brooklyn,21,0.14,0.05,0.05,2023-01-05,4,2023-01
39,Queens,26,0.29,0.13,0.1,2023-01-05,4,2023-01
40,Queens,25,0.22,0.07,0.1,2023-01-05,4,2023-01
41,Queens,24,0.38,0.13,0.1,2023-01-05,4,2023-01
42,Brooklyn,32,0.09,0.04,0.05,2023-01-05,4,2023-01
43,Brooklyn,23,0.14,0.06,0.05,2023-01-05,4,2023-01
44,Manhattan,1,0.04,0.01,0.02,2023-01-05,4,2023-01
45,Manhattan,2,0.04,0.01,0.02,2023-01-05,4,2023-01
46,Manhattan,3,0.04,0.01,0.02,2023-01-05,4,2023-01
47,Manhattan,4,0.07,0.03,0.02,2023-01-05,4,2023-01
48,Manhattan,5,0.09,0.03,0.02,2023-01-05,4,2023-01
49,Manhattan,6,0.07,0.02,0.02,2023-01-05,4,2023-01
50,Bronx,7,0.23,0.08,0.13,2023-01-05,4,2023-01
51,Bronx,8,0.2,0.09,0.13,2023-01-05,4,2023-01
52,Bronx,9,0.22,0.09,0.13,2023-01-05,4,2023-01
53,Bronx,10,0.21,0.08,0.13,2023-01-05,4,2023-01
54,Bronx,11,0.24,0.11,0.13,2023-01-05,4,2023-01
55,Bronx,12,0.27,0.12,0.13,2023-01-05,4,2023-01
56,Brooklyn,13,0.05,0.01,0.05,2023-01-05,4,2023-01
57,Brooklyn,14,0.04,0.01,0.05,2023-01-05,4,2023-01
58,Brooklyn,15,0.17,0.04,0.05,2023-01-05,4,2023-01
59,Brooklyn,16,0.09,0.04,0.05,2023-01-05,4,2023-01
60,Brooklyn,17,0.08,0.02,0.05,2023-01-05,4,2023-01
61,Brooklyn,18,0.13,0.08,0.05,2023-01-05,4,2023-01
62,Brooklyn,19,0.18,0.08,0.05,2023-01-05,4,2023-01
63,Brooklyn,20,0.19,0.07,0.05,2023-01-05,4,2023-01
64,Queens,26,0.29,0.13,0.1,2019-12-18,3,2019-12
65,Manhattan,1,0.04,0.01,0.02,2019-12-18,3,2019-12
66,Manhattan,2,0.04,0.01,0.02,2019-12-18,3,2019-12
67,Manhattan,3,0.04,0.01,0.02,2019-12-18,3,2019-12
68,Manhattan,4,0.07,0.03,0.02,2019-12-18,3,2019-12
69,Manhattan,5,0.09,0.03,0.02,2019-12-18,3,2019-12
70,Manhattan,6,0.07,0.02,0.02,2019-12-18,3,2019-12
71,Bronx,7,0.23,0.08,0.13,2019-12-18,3,2019-12
72,Bronx,8,0.2,0.09,0.13,2019-12-18,3,2019-12
73,Bronx,9,0.22,0.09,0.13,2019-12-18,3,2019-12
74,Bronx,10,0.21,0.08,0.13,2019-12-18,3,2019-12
75,Bronx,11,0.24,0.11,0.13,2019-12-18,3,2019-12
76,Bronx,12,0.27,0.12,0.13,2019-12-18,3,2019-12
77,Brooklyn,13,0.05,0.01,0.05,2019-12-18,3,2019-12
78,Brooklyn,14,0.04,0.01,0.05,2019-12-18,3,2019-12
79,Brooklyn,15,0.17,0.04,0.05,2019-12-18,3,2019-12
80,Brooklyn,16,0.09,0.04,0.05,2019-12-18,3,2019-12
81,Brooklyn,17,0.08,0.02,0.05,2019-12-18,3,2019-12
82,Brooklyn,18,0.13,0.08,0.05,2019-12-18,3,2019-12
83,Brooklyn,19,0.18,0.08,0.05,2019-12-18,3,2019-12
84,Brooklyn,20,0.19,0.07,0.05,2019-12-18,3,2019-12
85,Brooklyn,21,0.14,0.05,0.05,2019-12-18,3,2019-12
86,Brooklyn,22,0.15,0.05,0.05,2019-12-18,3,2019-12
87,Brooklyn,23,0.14,0.06,0.05,2019-12-18,3,2019-12
88,Brooklyn,32,0.09,0.04,0.05,2019-12-18,3,2019-12
89,Queens,24,0.38,0.13,0.1,2019-12-18,3,2019-12
90,Queens,25,0.22,0.07,0.1,2019-12-18,3,2019-12
91,Queens,27,0.17,0.07,0.1,2019-12-18,3,2019-12
92,Queens,28,0.22,0.08,0.1,2019-12-18,3,2019-12
93,Queens,29,0.33,0.14,0.1,2019-12-18,3,2019-12
94,Queens,30,0.11,0.04,0.1,2019-12-18,3,2019-12
95,Staten Island,31,0.25,0.08,0.09,2019-12-18,3,2019-12
96,Brooklyn,23,0.27,0.16,0.08,2019-03-13,2,2019-03
97,Staten Island,31,0.28,0.11,0.12,2019-03-13,2,2019-03
98,Queens,30,0.16,0.04,0.13,2019-03-13,2,2019-03
99,Queens,29,0.36,0.16,0.13,2019-03-13,2,2019-03
100,Queens,28,0.31,0.15,0.13,2019-03-13,2,2019-03
101,Queens,27,0.31,0.14,0.13,2019-03-13,2,2019-03
102,Queens,26,0.31,0.14,0.13,2019-03-13,2,2019-03
103,Queens,25,0.23,0.08,0.13,2019-03-13,2,2019-03
104,Queens,24,0.23,0.1,0.13,2019-03-13,2,2019-03
105,Brooklyn,32,0.18,0.04,0.08,2019-03-13,2,2019-03
106,Bronx,12,0.33,0.13,0.15,2019-03-13,2,2019-03
107,Bronx,11,0.26,0.11,0.15,2019-03-13,2,2019-03
108,Bronx,10,0.33,0.12,0.15,2019-03-13,2,2019-03
109,Bronx,9,0.34,0.11,0.15,2019-03-13,2,2019-03
110,Bronx,8,0.31,0.15,0.15,2019-03-13,2,2019-03
111,Bronx,7,0.37,0.19,0.15,2019-03-13,2,2019-03
112,Manhattan,6,0.15,0.06,0.02,2019-03-13,2,2019-03
113,Manhattan,5,0.16,0.06,0.02,2019-03-13,2,2019-03
114,Manhattan,4,0.13,0.05,0.02,2019-03-13,2,2019-03
115,Manhattan,3,0.06,0.03,0.02,2019-03-13,2,2019-03
116,Manhattan,2,0.05,0.02,0.02,2019-03-13,2,2019-03
117,Manhattan,1,0.05,0.03,0.02,2019-03-13,2,2019-03
118,Brooklyn,22,0.27,0.11,0.08,2019-03-13,2,2019-03
119,Brooklyn,21,0.24,0.07,0.08,2019-03-13,2,2019-03
120,Brooklyn,20,0.31,0.07,0.08,2019-03-13,2,2019-03
121,Brooklyn,19,0.38,0.15,0.08,2019-03-13,2,2019-03
122,Brooklyn,18,0.27,0.16,0.08,2019-03-13,2,2019-03
123,Brooklyn,17,0.24,0.09,0.08,2019-03-13,2,2019-03
124,Brooklyn,16,0.12,0.08,0.08,2019-03-13,2,2019-03
125,Brooklyn,15,0.18,0.04,0.08,2019-03-13,2,2019-03
126,Brooklyn,14,0.07,0.02,0.08,2019-03-13,2,2019-03
127,Brooklyn,13,0.07,0.03,0.08,2019-03-13,2,2019-03
